"Название товара","Ссылка на продавца","Ссылка на чат"
"Problemas de análisis de mecanismos","https://es.wallapop.com/item/problemas-de-analisis-de-mecanismos-870958426","https://es.wallapop.com/app/chat?itemId=pzprxw1gm563"
"iMac Pro 27'' finales 2017 ","https://es.wallapop.com/item/imac-pro-27-870957901","https://es.wallapop.com/app/chat?itemId=mzn870vw17zn"
