"Название товара","Ссылка на продавца","Ссылка на чат"
"Laptop Razer Blade CoreI7Usado-Teclado dañado ","https://es.wallapop.com/item/laptop-razer-blade-corei7usado-teclado-danado-868461739","https://es.wallapop.com/app/chat?itemId=36exmdr0dyzd"
"Horno ","https://es.wallapop.com/item/horno-868461717","https://es.wallapop.com/app/chat?itemId=wzvndr5p91jl"
"silla coche","https://es.wallapop.com/item/silla-coche-868461714","https://es.wallapop.com/app/chat?itemId=4z412ylmomzy"
"el amigo de Hércules ","https://es.wallapop.com/item/el-amigo-de-hercules-868461699","https://es.wallapop.com/app/chat?itemId=nz001glk9vzo"
