"Название товара","Ссылка на продавца","Ссылка на чат"
"CHAQUETA CAZA SOLOGNAC SIBIR 300 CAMIUFLAJE (NIÑO)","https://es.wallapop.com/item/chaqueta-caza-solognac-sibir-300-camiuflaje-nino-870792336","https://es.wallapop.com/app/chat?itemId=9jd21nqnwd6k"
"Zapatillas ","https://es.wallapop.com/item/zapatillas-870793668","https://es.wallapop.com/app/chat?itemId=wzy5gx8ogvj5"
"chaqueta nike tech ","https://es.wallapop.com/item/chaqueta-nike-tech-870793603","https://es.wallapop.com/app/chat?itemId=nz001w322ezo"
"DISFRAZ CAPITANA MARVEL MUJER","https://es.wallapop.com/item/disfraz-capitana-marvel-mujer-870791743","https://es.wallapop.com/app/chat?itemId=vjrrmo84q4jk"
"Adidas originals forum low J","https://es.wallapop.com/item/adidas-originals-forum-low-j-870791742","https://es.wallapop.com/app/chat?itemId=x6qd148vmqjy"
"BIMBA Y LOLA - Jersey","https://es.wallapop.com/item/bimba-y-lola-jersey-870791660","https://es.wallapop.com/app/chat?itemId=9jd21nq8xl6k"
"Chaqueta joot","https://es.wallapop.com/item/chaqueta-joot-870791650","https://es.wallapop.com/app/chat?itemId=pzprxgqdy563"
