"Название товара","Ссылка на продавца","Ссылка на чат"
"Vintage Goalkeeper Jersey","https://www.vinted.es/hommes/vetements/hauts-and-tee-shirts/tee-shirts/t-shirts-manches-longues/2645490978-vintage-goalkeeper-jersey","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645490978&receiver_id=104437482&ref_url=%2Fitems%2F2645490978%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D104437482%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisetas-de-manga-larga%252F2645490978-vintage-goalkeeper-jersey%26source%3Dwantit%26subject%3Dwanted%253A%2BVintage%2BGoalkeeper%2BJersey&source=wantit&subject=wanted%3A+Vintage+Goalkeeper+Jersey"
"Blazer Zara","https://www.vinted.es/kobiety/ubrania/zakiety-i-garnitury-532/2645477481-blazer-zara","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645477481&receiver_id=89955724&ref_url=%2Fitems%2F2645477481%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D89955724%26ref_url%3D%252Fmujer%252Fropa%252Ftrajes-y-blazers%252Fblazers%252F2645477481-blazer-zara%26source%3Dwantit%26subject%3Dwanted%253A%2BBlazer%2BZara&source=wantit&subject=wanted%3A+Blazer+Zara"
"Pantalón de cuadros pata ancha Stradivarius ","https://www.vinted.es/kobiety/ubrania/spodnie-i-legginsy/spodnie-z-szerokimi-nogawkami/2645477391-pantalon-de-cuadros-pata-ancha-stradivarius","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645477391&receiver_id=130003165&ref_url=%2Fitems%2F2645477391%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130003165%26ref_url%3D%252Fmujer%252Fropa%252Fpantalones-y-leggings%252Fpantalones-anchos%252F2645477391-pantalon-de-cuadros-pata-ancha-stradivarius%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2Bde%2Bcuadros%2Bpata%2Bancha%2BStradivarius%2B&source=wantit&subject=wanted%3A+Pantal%C3%B3n+de+cuadros+pata+ancha+Stradivarius+"
"Sandalias Vinilo ","https://www.vinted.es/mujer/zapatos/sandalias/2645484294-sandalias-vinilo","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645484294&receiver_id=129162456&ref_url=%2Fitems%2F2645484294%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129162456%26ref_url%3D%252Fmujer%252Fzapatos%252Fsandalias%252F2645484294-sandalias-vinilo%26source%3Dwantit%26subject%3Dwanted%253A%2BSandalias%2BVinilo%2B&source=wantit&subject=wanted%3A+Sandalias+Vinilo+"
"The north face Puffer Military ","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/impermeables/2645483514-the-north-face-puffer-military","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645483514&receiver_id=130399970&ref_url=%2Fitems%2F2645483514%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130399970%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fimpermeables%252F2645483514-the-north-face-puffer-military%26source%3Dwantit%26subject%3Dwanted%253A%2BThe%2Bnorth%2Bface%2BPuffer%2BMilitary%2B&source=wantit&subject=wanted%3A+The+north+face+Puffer+Military+"
"Zapato trippen","https://www.vinted.es/heren/schoenen/nette-schoenen/2645482440-zapato-trippen","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645482440&receiver_id=53660790&ref_url=%2Fitems%2F2645482440%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D53660790%26ref_url%3D%252Fhombre%252Fcalzado%252Fzapatos-de-vestir%252F2645482440-zapato-trippen%26source%3Dwantit%26subject%3Dwanted%253A%2BZapato%2Btrippen&source=wantit&subject=wanted%3A+Zapato+trippen"
