"Название товара","Ссылка на продавца","Ссылка на чат"
"zapatillas ","https://es.wallapop.com/item/zapatillas-871582198","https://es.wallapop.com/app/chat?itemId=pzprx7873l63"
"zapatos de tacón ","https://es.wallapop.com/item/zapatos-de-tacon-871579948","https://es.wallapop.com/app/chat?itemId=e65gdem75gjo"
"Pantalones Tie Die","https://es.wallapop.com/item/pantalones-tie-die-871579643","https://es.wallapop.com/app/chat?itemId=vjrrmxy4dxjk"
