"Название товара","Ссылка на продавца","Ссылка на чат"
"Blazers azul ","https://www.vinted.es/femmes/vetements/blazers-and-tailleurs/autres-ensembles-and-tailleurs/2638727094-blazers-azul","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2638727094&receiver_id=130265597&ref_url=%2Fitems%2F2638727094%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130265597%26ref_url%3D%252Fmujer%252Fropa%252Ftrajes-y-blazers%252Fotros-trajes-y-blazers%252F2638727094-blazers-azul%26source%3Dwantit%26subject%3Dwanted%253A%2BBlazers%2Bazul%2B&source=wantit&subject=wanted%3A+Blazers+azul+"
"Botas altas camperas","https://www.vinted.es/femmes/chaussures/bottes/bottes-hautes/2638724576-botas-altas-camperas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2638724576&receiver_id=129613854&ref_url=%2Fitems%2F2638724576%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129613854%26ref_url%3D%252Fmujer%252Fzapatos%252Fbotas%252Fbotas-altas%252F2638724576-botas-altas-camperas%26source%3Dwantit%26subject%3Dwanted%253A%2BBotas%2Baltas%2Bcamperas&source=wantit&subject=wanted%3A+Botas+altas+camperas"
"Chaqueta vaquera, color verde con tachuelas y flecos en la zona de la espalda ","https://www.vinted.es/mujer/ropa/abrigos-y-cazadoras/cazadoras/cazadoras-vaqueras/2638727019-chaqueta-vaquera-color-verde-con-tachuelas-y-flecos-en-la-zona-de-la-espalda","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2638727019&receiver_id=52477195&ref_url=%2Fitems%2F2638727019%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D52477195%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fcazadoras-vaqueras%252F2638727019-chaqueta-vaquera-color-verde-con-tachuelas-y-flecos-en-la-zona-de-la-espalda%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Bvaquera%252C%2Bcolor%2Bverde%2Bcon%2Btachuelas%2By%2Bflecos%2Ben%2Bla%2Bzona%2Bde%2Bla%2Bespalda%2B&source=wantit&subject=wanted%3A+Chaqueta+vaquera%2C+color+verde+con+tachuelas+y+flecos+en+la+zona+de+la+espalda+"
"Jersey de cuello alto.","https://www.vinted.es/moterims/drabuziai/megztiniai-ir-dzemperiai/megztiniai-aukstu-kaklu/2638726510-jersey-de-cuello-alto","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2638726510&receiver_id=108915830&ref_url=%2Fitems%2F2638726510%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D108915830%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fcuello-alto%252F2638726510-jersey-de-cuello-alto%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2Bde%2Bcuello%2Balto.&source=wantit&subject=wanted%3A+Jersey+de+cuello+alto."
"Camisa de Mango","https://www.vinted.es/women/clothes/tops-and-t-shirts/blouses/2638724840-camisa-de-mango","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2638724840&receiver_id=130216355&ref_url=%2Fitems%2F2638724840%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130216355%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fblusas%252F2638724840-camisa-de-mango%26source%3Dwantit%26subject%3Dwanted%253A%2BCamisa%2Bde%2BMango&source=wantit&subject=wanted%3A+Camisa+de+Mango"
"Jersey granate con abertura cuello","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche/autres-sweats/2638721690-jersey-granate-con-abertura-cuello","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2638721690&receiver_id=55416382&ref_url=%2Fitems%2F2638721690%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D55416382%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fotros-jerseis%252F2638721690-jersey-granate-con-abertura-cuello%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2Bgranate%2Bcon%2Babertura%2Bcuello&source=wantit&subject=wanted%3A+Jersey+granate+con+abertura+cuello"
"Bolso Michael Kors","https://www.vinted.es/mujer/bolsos/bolsos-de-mano/2638721333-bolso-michael-kors","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2638721333&receiver_id=35202604&ref_url=%2Fitems%2F2638721333%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D35202604%26ref_url%3D%252Fmujer%252Fbolsos%252Fbolsos-de-mano%252F2638721333-bolso-michael-kors%26source%3Dwantit%26subject%3Dwanted%253A%2BBolso%2BMichael%2BKors&source=wantit&subject=wanted%3A+Bolso+Michael+Kors"
