"Название товара","Ссылка на продавца","Ссылка на чат"
"Botines Clarks Piel","https://es.wallapop.com/item/botines-clarks-piel-870274437","https://es.wallapop.com/app/chat?itemId=pj950nkoyoze"
"Jordan 4 a ma maniere ","https://es.wallapop.com/item/jordan-4-a-ma-maniere-870274418","https://es.wallapop.com/app/chat?itemId=x6qd1vkpyyjy"
"Botas ","https://es.wallapop.com/item/botas-870274810","https://es.wallapop.com/app/chat?itemId=8j3ekpm012z9"
"Sudaderas Adidas oficial ","https://es.wallapop.com/item/sudaderas-adidas-oficial-870274786","https://es.wallapop.com/app/chat?itemId=4z4120y7xrzy"
"Bolso acolchado azul de Zara ","https://es.wallapop.com/item/bolso-acolchado-azul-de-zara-870274784","https://es.wallapop.com/app/chat?itemId=9jd218x30n6k"
