"Название товара","Ссылка на продавца","Ссылка на чат"
"vestido largo turquesa","https://es.wallapop.com/item/vestido-largo-turquesa-873105531","https://es.wallapop.com/app/chat?itemId=p61ym2l34765"
"Chaqueta Zara Pana Azul","https://es.wallapop.com/item/chaqueta-zara-pana-azul-873105850","https://es.wallapop.com/app/chat?itemId=pzprxqmo4563"
"Jersey ","https://es.wallapop.com/item/jersey-873105789","https://es.wallapop.com/app/chat?itemId=wzvnd85e81jl"
"Botas de invierno Bugaboot  Columbia ","https://es.wallapop.com/item/botas-de-invierno-bugaboot-columbia-873105038","https://es.wallapop.com/app/chat?itemId=4z4124l4nlzy"
"Vestido de flamenca ","https://es.wallapop.com/item/vestido-de-flamenca-873104995","https://es.wallapop.com/app/chat?itemId=ejkknq0qmyjx"
"Vestido de Comunión ","https://es.wallapop.com/item/vestido-de-comunion-873106330","https://es.wallapop.com/app/chat?itemId=nzx0g8pxpmz2"
"Sudadera Calvin Klein hombre talla L ","https://es.wallapop.com/item/sudadera-calvin-klein-hombre-talla-l-873106216","https://es.wallapop.com/app/chat?itemId=v6g23qrxe5ze"
"NIKE Dunk Low White Black Panda 39","https://es.wallapop.com/item/nike-dunk-low-white-black-panda-39-873106116","https://es.wallapop.com/app/chat?itemId=v6g23qrxgnze"
